measure_date,hour,visits,devices
2019-01-15,14,1,18419526
2019-01-15,15,0,18419526
2019-01-15,16,0,18419526
2019-01-15,17,0,18419526
2019-01-15,18,0,18419526
2019-01-15,19,0,18419526
2019-01-15,20,0,18419526
2019-01-15,21,0,18419526
2019-01-15,22,0,18419526
2019-01-15,23,0,18419526
2019-01-16,0,0,18817729
2019-01-16,1,0,18817729
2019-01-16,2,0,18817729
2019-01-16,3,0,18817729
2019-01-16,4,0,18817729
2019-01-16,5,0,18817729
2019-01-16,6,0,18817729
2019-01-16,7,0,18817729
2019-01-16,8,0,18817729
2019-01-16,9,0,18817729
2019-01-16,10,0,18817729
2019-01-16,11,0,18817729
2019-01-16,12,1,18817729
2019-01-16,13,1,18817729
2019-01-16,14,0,18817729
2019-01-16,15,0,18817729
2019-01-16,16,0,18817729
2019-01-16,17,0,18817729
2019-01-16,18,0,18817729
2019-01-16,19,0,18817729
2019-01-16,20,0,18817729
2019-01-16,21,0,18817729
2019-01-16,22,0,18817729
2019-01-16,23,0,18817729
2019-01-17,0,0,18473383
2019-01-17,1,0,18473383
2019-01-17,2,0,18473383
2019-01-17,3,0,18473383
2019-01-17,4,0,18473383
2019-01-17,5,0,18473383
2019-01-17,6,0,18473383
2019-01-17,7,0,18473383
2019-01-17,8,0,18473383
2019-01-17,9,2,18473383
2019-01-17,10,0,18473383
2019-01-17,11,0,18473383
2019-01-17,12,1,18473383
2019-01-17,13,0,18473383
2019-01-17,14,0,18473383
2019-01-17,15,0,18473383
2019-01-17,16,0,18473383
2019-01-17,17,0,18473383
2019-01-17,18,0,18473383
2019-01-17,19,0,18473383
2019-01-17,20,0,18473383
2019-01-17,21,0,18473383
2019-01-17,22,0,18473383
2019-01-17,23,0,18473383
2019-01-18,0,0,18620170
2019-01-18,1,0,18620170
2019-01-18,2,0,18620170
2019-01-18,3,0,18620170
2019-01-18,4,0,18620170
2019-01-18,5,0,18620170
2019-01-18,6,0,18620170
2019-01-18,7,0,18620170
2019-01-18,8,2,18620170
2019-01-18,9,1,18620170
2019-01-18,10,2,18620170
2019-01-18,11,0,18620170
2019-01-18,12,1,18620170
2019-01-18,13,2,18620170
2019-01-18,14,0,18620170
2019-01-18,15,0,18620170
2019-01-18,16,0,18620170
2019-01-18,17,0,18620170
2019-01-18,18,0,18620170
2019-01-18,19,0,18620170
2019-01-18,20,0,18620170
2019-01-18,21,1,18620170
2019-01-18,22,0,18620170
2019-01-18,23,0,18620170
2019-01-19,0,0,18080377
2019-01-19,1,0,18080377
2019-01-19,2,0,18080377
2019-01-19,3,0,18080377
2019-01-19,4,0,18080377
2019-01-19,5,0,18080377
2019-01-19,6,0,18080377
2019-01-19,7,0,18080377
2019-01-19,8,0,18080377
2019-01-19,9,1,18080377
2019-01-19,10,0,18080377
2019-01-19,11,0,18080377
2019-01-19,12,0,18080377
2019-01-19,13,3,18080377
2019-01-19,14,7,18080377
2019-01-19,15,2,18080377
2019-01-19,16,0,18080377
2019-01-19,17,0,18080377
2019-01-19,18,0,18080377
2019-01-19,19,0,18080377
2019-01-19,20,0,18080377
2019-01-19,21,0,18080377
2019-01-19,22,0,18080377
2019-01-19,23,0,18080377
2019-01-20,0,0,17774136
2019-01-20,1,0,17774136
2019-01-20,2,0,17774136
2019-01-20,3,0,17774136
2019-01-20,4,0,17774136
2019-01-20,5,0,17774136
2019-01-20,6,0,17774136
2019-01-20,7,0,17774136
2019-01-20,8,1,17774136
2019-01-20,9,1,17774136
2019-01-20,10,1,17774136
2019-01-20,11,3,17774136
2019-01-20,12,0,17774136
2019-01-20,13,2,17774136
2019-01-20,14,0,17774136
2019-01-20,15,1,17774136
2019-01-20,16,1,17774136
2019-01-20,17,0,17774136
2019-01-20,18,0,17774136
2019-01-20,19,0,17774136
2019-01-20,20,0,17774136
2019-01-20,21,0,17774136
2019-01-20,22,0,17774136
2019-01-20,23,0,17774136
2019-01-21,0,0,18270223
2019-01-21,1,0,18270223
2019-01-21,2,0,18270223
2019-01-21,3,0,18270223
2019-01-21,4,0,18270223
2019-01-21,5,0,18270223
2019-01-21,6,0,18270223
2019-01-21,7,0,18270223
2019-01-21,8,1,18270223
2019-01-21,9,0,18270223
2019-01-21,10,1,18270223
2019-01-21,11,1,18270223
2019-01-21,12,1,18270223
2019-01-21,13,1,18270223
2019-01-21,14,0,18270223
2019-01-21,15,0,18270223
2019-01-21,16,0,18270223
2019-01-21,17,0,18270223
2019-01-21,18,0,18270223
2019-01-21,19,0,18270223
2019-01-21,20,0,18270223
2019-01-21,21,0,18270223
2019-01-21,22,0,18270223
2019-01-21,23,0,18270223
2019-01-22,0,0,18291697
2019-01-22,1,0,18291697
2019-01-22,2,0,18291697
2019-01-22,3,0,18291697
2019-01-22,4,0,18291697
2019-01-22,5,0,18291697
2019-01-22,6,0,18291697
2019-01-22,7,0,18291697
2019-01-22,8,0,18291697
2019-01-22,9,0,18291697
2019-01-22,10,0,18291697
2019-01-22,11,0,18291697
2019-01-22,12,0,18291697
2019-01-22,13,0,18291697
2019-01-22,14,0,18291697
2019-01-22,15,0,18291697
2019-01-22,16,0,18291697
2019-01-22,17,0,18291697
2019-01-22,18,0,18291697
2019-01-22,19,0,18291697
2019-01-22,20,0,18291697
2019-01-22,21,0,18291697
2019-01-22,22,0,18291697
2019-01-22,23,0,18291697
2019-01-23,0,0,18203512
2019-01-23,1,0,18203512
2019-01-23,2,0,18203512
2019-01-23,3,0,18203512
2019-01-23,4,0,18203512
2019-01-23,5,0,18203512
2019-01-23,6,0,18203512
2019-01-23,7,0,18203512
2019-01-23,8,0,18203512
2019-01-23,9,0,18203512
2019-01-23,10,0,18203512
2019-01-23,11,0,18203512
2019-01-23,12,0,18203512
2019-01-23,13,0,18203512
2019-01-23,14,0,18203512
2019-01-23,15,0,18203512
2019-01-23,16,0,18203512
2019-01-23,17,0,18203512
2019-01-23,18,0,18203512
2019-01-23,19,0,18203512
2019-01-23,20,0,18203512
2019-01-23,21,0,18203512
2019-01-23,22,0,18203512
2019-01-23,23,0,18203512
2019-01-24,0,0,18175818
2019-01-24,1,0,18175818
2019-01-24,2,0,18175818
2019-01-24,3,0,18175818
2019-01-24,4,0,18175818
2019-01-24,5,0,18175818
2019-01-24,6,0,18175818
2019-01-24,7,0,18175818
2019-01-24,8,0,18175818
2019-01-24,9,0,18175818
2019-01-24,10,0,18175818
2019-01-24,11,0,18175818
2019-01-24,12,0,18175818
2019-01-24,13,0,18175818
2019-01-24,14,0,18175818
2019-01-24,15,0,18175818
2019-01-24,16,0,18175818
2019-01-24,17,0,18175818
2019-01-24,18,0,18175818
2019-01-24,19,0,18175818
2019-01-24,20,0,18175818
2019-01-24,21,0,18175818
2019-01-24,22,0,18175818
2019-01-24,23,0,18175818
2019-01-25,0,0,18304045
2019-01-25,1,0,18304045
2019-01-25,2,0,18304045
2019-01-25,3,0,18304045
2019-01-25,4,0,18304045
2019-01-25,5,0,18304045
2019-01-25,6,0,18304045
2019-01-25,7,0,18304045
2019-01-25,8,1,18304045
2019-01-25,9,0,18304045
2019-01-25,10,0,18304045
2019-01-25,11,1,18304045
2019-01-25,12,0,18304045
2019-01-25,13,1,18304045
2019-01-25,14,0,18304045
2019-01-25,15,0,18304045
2019-01-25,16,0,18304045
2019-01-25,17,0,18304045
2019-01-25,18,0,18304045
2019-01-25,19,0,18304045
2019-01-25,20,0,18304045
